game_date,home_team,pitch_type,description,launch_speed,launch_angle,stand,p_throws,release_speed,season,pitch_category,swing_outcome,sov
2023-04-09,AZ,FF,swinging_strike,,,L,R,94.7,2023,Fastball,whiff,
2023-07-05,AZ,FF,foul,93.4,29.0,R,R,96.3,2023,Fastball,foul,
2023-08-24,AZ,CU,hit_into_play,103.0,20.0,L,L,82.3,2023,Breaking,in_play,0.9026331528823592
2023-06-15,AZ,ST,hit_into_play,87.9,15.0,R,R,82.6,2023,Breaking,in_play,0.09538853190608365
2023-06-12,AZ,SI,hit_into_play,67.6,-8.0,L,R,96.4,2023,Fastball,in_play,-0.78358151732176
2023-09-06,AZ,FF,hit_into_play,93.2,33.0,R,R,95.5,2023,Fastball,in_play,0.4921710859263575
2023-04-22,AZ,CH,hit_into_play,83.0,3.0,L,R,87.9,2023,Offspeed,in_play,-0.2846166822580398
2023-09-30,AZ,CH,hit_into_play,105.6,21.0,R,R,90.0,2023,Offspeed,in_play,0.9349763062247918
2023-09-01,AZ,SI,foul,,,R,L,93.1,2023,Fastball,foul,
2023-08-26,AZ,FC,foul_tip,,,L,R,89.2,2023,Fastball,whiff,
2023-05-05,AZ,SL,hit_into_play,104.5,15.0,R,R,85.6,2023,Breaking,in_play,0.799898783872897
2023-05-06,AZ,FF,hit_into_play,27.2,-25.0,L,R,97.5,2023,Fastball,in_play,-0.9927001702271229
2023-08-09,AZ,SI,hit_into_play,95.8,13.0,L,R,94.1,2023,Fastball,in_play,0.49292253899121263
2023-07-04,AZ,SI,foul,88.5,-18.0,R,R,96.3,2023,Fastball,foul,
2023-05-29,AZ,SI,foul,76.1,43.0,R,R,95.0,2023,Fastball,foul,
2023-06-27,AZ,FF,hit_into_play,97.4,42.0,R,R,94.9,2023,Fastball,in_play,0.5898446485806739
2023-04-08,AZ,CH,foul,,,L,R,87.4,2023,Offspeed,foul,
2023-08-22,AZ,ST,swinging_strike,,,L,R,83.5,2023,Breaking,whiff,
2023-05-30,AZ,FF,foul,75.5,42.0,R,R,93.4,2023,Fastball,foul,
2023-09-17,AZ,ST,hit_into_play,80.1,13.0,R,L,81.0,2023,Breaking,in_play,-0.3093686260677535
2023-05-26,AZ,FF,foul,85.4,45.0,R,R,92.2,2023,Fastball,foul,
2023-06-28,AZ,SL,swinging_strike,,,R,R,85.5,2023,Breaking,whiff,
2023-05-13,AZ,SL,foul,72.2,7.0,L,R,86.9,2023,Breaking,foul,
2023-09-02,AZ,SI,hit_into_play,71.6,-6.0,L,R,93.3,2023,Fastball,in_play,-0.7053383839158373
2023-05-08,AZ,SI,hit_into_play,78.6,-45.0,L,L,91.4,2023,Fastball,in_play,-0.8435137331881546
2023-06-13,AZ,FC,hit_into_play,102.6,4.0,R,R,87.1,2023,Fastball,in_play,0.45165396353152265
2023-07-06,AZ,FC,foul,75.9,55.0,R,R,85.9,2023,Fastball,foul,
2023-08-13,AZ,ST,foul,68.5,56.0,L,R,84.3,2023,Breaking,foul,
2023-04-08,AZ,FC,hit_into_play,89.9,-18.0,L,R,87.9,2023,Fastball,in_play,-0.40655144386338893
2023-05-30,AZ,SL,hit_into_play,110.7,24.0,L,R,87.5,2023,Breaking,in_play,0.8381462112963332
2023-07-25,AZ,FC,swinging_strike,,,R,R,92.1,2023,Fastball,whiff,
2023-07-25,AZ,SI,hit_into_play,103.2,2.0,R,L,94.2,2023,Fastball,in_play,0.3933166684558407
2023-06-18,AZ,FF,foul,72.5,39.0,L,R,98.2,2023,Fastball,foul,
2023-04-20,AZ,FF,hit_into_play,102.2,-18.0,R,R,95.0,2023,Fastball,in_play,-0.21322864109681472
2023-04-21,AZ,FF,foul,79.3,14.0,R,R,95.1,2023,Fastball,foul,
2023-06-29,AZ,SL,foul,86.7,-21.0,L,R,88.6,2023,Breaking,foul,
2023-04-23,AZ,ST,foul,,,R,R,81.6,2023,Breaking,foul,
2023-05-09,AZ,FF,hit_into_play,77.6,35.0,R,L,97.0,2023,Fastball,in_play,-0.3771527596730412
2023-06-02,AZ,SL,hit_into_play,84.4,51.0,L,R,84.3,2023,Breaking,in_play,-0.19990185102826385
2023-04-26,AZ,FF,hit_into_play,96.5,-17.0,R,L,92.0,2023,Fastball,in_play,-0.254205836796663
2023-07-07,AZ,SL,foul,,,L,R,85.3,2023,Breaking,foul,
2023-07-26,AZ,FF,foul,75.2,19.0,L,L,93.0,2023,Fastball,foul,
2023-09-16,AZ,FF,foul_tip,,,L,R,89.7,2023,Fastball,whiff,
2023-06-14,AZ,SI,foul,92.2,32.0,L,L,91.6,2023,Fastball,foul,
2023-09-04,AZ,CH,foul,57.5,-59.0,L,R,88.9,2023,Offspeed,foul,
2023-07-28,AZ,SL,hit_into_play,97.7,1.0,L,R,88.7,2023,Breaking,in_play,0.2529176315426258
2023-04-11,AZ,FF,foul,,,L,R,95.8,2023,Fastball,foul,
2023-07-30,AZ,FF,foul,74.4,-32.0,L,R,90.6,2023,Fastball,foul,
2023-07-07,AZ,FF,hit_into_play,73.3,32.0,R,L,88.2,2023,Fastball,in_play,-0.5379637155520113
2023-10-01,AZ,FF,hit_into_play,104.2,12.0,R,R,93.4,2023,Fastball,in_play,0.7189872252978975
2023-08-12,AZ,CH,swinging_strike,,,R,R,83.9,2023,Offspeed,whiff,
2023-08-22,AZ,SL,hit_into_play,54.5,17.0,R,R,86.0,2023,Breaking,in_play,-0.8875887558084254
2023-04-07,AZ,CU,swinging_strike,,,R,L,71.8,2023,Breaking,whiff,
2023-07-05,AZ,SL,swinging_strike,,,L,L,85.3,2023,Breaking,whiff,
2023-05-05,AZ,SI,foul,68.2,38.0,R,L,91.7,2023,Fastball,foul,
2023-04-22,AZ,SL,hit_into_play,70.4,8.0,R,R,86.8,2023,Breaking,in_play,-0.6660941309982057
2023-08-12,AZ,CU,hit_into_play,66.8,-14.0,R,R,77.0,2023,Breaking,in_play,-0.817320226356066
2023-06-18,AZ,FF,foul,,,L,R,94.4,2023,Fastball,foul,
2023-08-13,AZ,FF,hit_into_play,98.2,-8.0,L,R,96.2,2023,Fastball,in_play,0.0023923811860688815
2023-08-26,AZ,SL,hit_into_play,83.9,32.0,R,R,88.6,2023,Breaking,in_play,-0.06664928611958842
2023-09-19,AZ,FS,hit_into_play,90.0,-8.0,L,R,88.5,2023,Offspeed,in_play,-0.20844387872467685
2023-09-17,AZ,FF,foul_tip,,,R,R,95.9,2023,Fastball,whiff,
2023-04-11,AZ,FC,foul,71.4,30.0,L,R,90.8,2023,Fastball,foul,
2023-06-03,AZ,FF,hit_into_play,104.2,29.0,R,R,96.9,2023,Fastball,in_play,0.9962580704525588
2023-09-03,AZ,CH,hit_into_play,107.1,0.0,R,R,86.5,2023,Offspeed,in_play,0.32652936034474833
2023-06-29,AZ,ST,foul,84.6,27.0,R,R,84.1,2023,Breaking,foul,
2023-05-08,AZ,FC,foul,74.1,14.0,R,L,88.4,2023,Fastball,foul,
2023-09-30,AZ,CU,foul,70.7,-27.0,R,R,79.7,2023,Breaking,foul,
2023-08-25,AZ,FF,foul,72.5,47.0,L,R,95.9,2023,Fastball,foul,
2023-05-05,AZ,FF,swinging_strike,,,L,R,94.5,2023,Fastball,whiff,
2023-07-09,AZ,FC,foul,65.6,-40.0,L,R,86.4,2023,Fastball,foul,
2023-08-12,AZ,SI,swinging_strike,,,R,R,97.0,2023,Fastball,whiff,
2023-05-29,AZ,SI,hit_into_play,89.9,-48.0,R,R,94.8,2023,Fastball,in_play,-0.790482616896959
2023-05-07,AZ,SI,swinging_strike,,,R,R,89.7,2023,Fastball,whiff,
2023-09-20,AZ,CH,swinging_strike,,,L,R,86.8,2023,Offspeed,whiff,
2023-05-10,AZ,CH,swinging_strike,,,L,R,94.3,2023,Offspeed,whiff,
2023-07-04,AZ,CH,foul,108.3,23.0,R,R,80.9,2023,Offspeed,foul,
2023-08-08,AZ,CU,foul,,,L,R,78.0,2023,Breaking,foul,
2023-08-25,AZ,FF,foul,69.3,-18.0,R,R,99.7,2023,Fastball,foul,
2023-07-09,AZ,CH,swinging_strike,,,L,R,81.4,2023,Offspeed,whiff,
2023-06-01,AZ,CH,hit_into_play,93.0,26.0,L,R,80.6,2023,Offspeed,in_play,0.4958210008127961
2023-08-11,AZ,CH,swinging_strike,,,L,R,83.2,2023,Offspeed,whiff,
2023-09-05,AZ,SL,hit_into_play,76.5,11.0,R,R,90.2,2023,Breaking,in_play,-0.47030226816139376
2023-06-12,AZ,FC,hit_into_play,57.7,64.0,L,R,91.7,2023,Fastball,in_play,-0.8879874860061037
2023-05-28,AZ,SL,swinging_strike,,,L,R,84.1,2023,Breaking,whiff,
2023-06-01,AZ,FF,foul,,,L,R,93.1,2023,Fastball,foul,
2023-08-11,AZ,CH,swinging_strike,,,R,L,87.3,2023,Offspeed,whiff,
2023-09-16,AZ,KC,swinging_strike_blocked,,,R,L,81.5,2023,Breaking,whiff,
2023-07-24,AZ,SI,foul,103.9,-40.0,R,R,101.5,2023,Fastball,foul,
2023-06-16,AZ,FF,hit_into_play,91.1,28.0,R,R,93.1,2023,Fastball,in_play,0.3779502200683975
2023-07-05,AZ,CH,foul,87.4,59.0,R,L,83.8,2023,Offspeed,foul,
2023-07-07,AZ,FF,foul,89.9,30.0,R,R,95.1,2023,Fastball,foul,
2023-08-27,AZ,FF,swinging_strike,,,R,L,90.3,2023,Fastball,whiff,
2023-08-11,AZ,FF,foul,,,L,R,94.8,2023,Fastball,foul,
2023-04-07,AZ,FC,foul,101.1,4.0,R,L,87.7,2023,Fastball,foul,
2023-04-26,AZ,KC,swinging_strike,,,R,R,82.2,2023,Breaking,whiff,
2023-07-26,AZ,SL,foul,92.4,-26.0,L,R,84.5,2023,Breaking,foul,
2023-07-29,AZ,CH,foul,72.9,-38.0,L,R,86.6,2023,Offspeed,foul,
2023-06-15,AZ,CH,hit_into_play,94.5,-11.0,L,R,90.9,2023,Offspeed,in_play,-0.15128743846519543
2023-04-24,AZ,SL,hit_into_play,92.4,48.0,R,R,83.8,2023,Breaking,in_play,0.21936295183032506
2023-06-04,AZ,FF,hit_into_play,86.6,12.0,R,R,92.6,2023,Fastball,in_play,-0.012084592145015116
2023-09-03,AZ,SL,swinging_strike,,,R,R,89.0,2023,Breaking,whiff,
2023-06-29,AZ,SI,swinging_strike,,,R,R,90.7,2023,Fastball,whiff,
2023-05-12,AZ,SL,swinging_strike,,,R,L,82.9,2023,Breaking,whiff,
2023-08-25,AZ,SI,foul,48.7,-37.0,R,R,92.2,2023,Fastball,foul,
2023-07-04,AZ,SL,swinging_strike,,,R,R,85.4,2023,Breaking,whiff,
2023-05-30,AZ,CH,hit_into_play,97.3,35.0,R,L,82.6,2023,Offspeed,in_play,0.7080834879690832
2023-07-04,AZ,SL,hit_into_play,102.2,37.0,R,R,84.4,2023,Breaking,in_play,0.8662106829021423
2023-05-11,AZ,FS,hit_into_play,105.5,8.0,L,R,89.6,2023,Offspeed,in_play,0.5972518287913875
2023-05-29,AZ,FF,hit_into_play,105.5,13.0,R,R,90.6,2023,Fastball,in_play,0.7485239314797492
2023-06-27,AZ,FC,swinging_strike,,,L,R,90.7,2023,Fastball,whiff,
2023-09-05,AZ,ST,swinging_strike,,,R,R,85.1,2023,Breaking,whiff,
2023-06-14,AZ,CU,foul,49.5,-60.0,R,L,76.8,2023,Breaking,foul,
2023-04-24,AZ,FF,hit_into_play,94.1,51.0,R,L,89.9,2023,Fastball,in_play,0.22936187832594657
2023-08-21,AZ,SL,hit_into_play,91.0,17.0,R,R,83.4,2023,Breaking,in_play,0.29938503534896554
2023-06-29,AZ,FF,hit_into_play,94.8,-2.0,R,R,93.0,2023,Fastball,in_play,0.08094223012866708
2023-07-30,AZ,CH,foul,94.3,17.0,L,R,84.2,2023,Offspeed,foul,
2023-06-02,AZ,CU,hit_into_play,91.0,-6.0,L,R,81.0,2023,Breaking,in_play,-0.1382980354869876
2023-07-05,AZ,FO,swinging_strike,,,R,R,85.4,2023,Offspeed,whiff,
2023-09-02,AZ,CU,swinging_strike,,,L,L,80.3,2023,Breaking,whiff,
2023-07-26,AZ,KC,foul,73.9,56.0,R,R,83.1,2023,Breaking,foul,
2023-09-20,AZ,FF,foul,76.7,22.0,R,R,93.0,2023,Fastball,foul,
2023-05-12,AZ,FF,foul,81.8,45.0,L,R,94.7,2023,Fastball,foul,
